st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.006,0.506,15.591,0.066,4.474,58.076,13.756,11.914,19.307,11.578,0,0,1.771,0.011,0,0,1.506,0.008,0,0,1.592,0.009,0,0,1.193,0.01,0,0,0,0,0,0
0.006,0.504,20.678,0.065,4.399,54.478,14.869,11.198,13.294,8.833,0,0,1.355,0.011,0,0,1.257,0.008,0,0,1.09,0.009,0,0,0.878,0.009,0,0,0,0,0,0
0.006,0.507,24.798,0.066,4.432,53.317,14.582,10.924,12.425,8.526,0,0,1.509,0.011,0,0,1.174,0.008,0,0,1.423,0.008,0,0,1.037,0.008,0,0,0,0,0,0
0.006,0.519,18.411,0.068,4.845,49.197,19.548,15.493,15.552,9.611,0,0,1.311,0.013,0,0,1.368,0.01,0,0,1.331,0.011,0,0,0.854,0.01,0,0,0,0,0,0
0.006,0.508,14.609,0.066,4.537,51.314,8.297,6.04,10.998,8.215,0,0,0.93,0.009,0,0,0.713,0.008,0,0,0.923,0.008,0,0,0.853,0.008,0,0,0,0,0,0
0.006,0.497,9.153,0.067,4.524,51.345,4.47,3.283,18.372,11.817,0,0,0.644,0.008,0,0,0.417,0.005,0,0,1.576,0.01,0,0,1.243,0.01,0,0,0,0,0,0
0.006,0.516,33.973,0.065,4.462,73.136,39.417,30.851,18.399,12.12,0,0,2.17,0.015,0,0,1.71,0.012,0,0,1.134,0.01,0,0,0.905,0.01,0,0,0,0,0,0
0.006,0.502,7.363,0.067,4.535,43.142,6.493,5.054,23.8,13.318,0,0,0.834,0.008,0,0,0.645,0.005,0,0,2.235,0.012,0,0,1.383,0.011,0,0,0,0,0,0
0.006,0.504,22.445,0.065,4.482,65.625,17.983,13.261,22.852,14.901,0,0,1.434,0.013,0,0,1.081,0.009,0,0,1.683,0.012,0,0,1.144,0.012,0,0,0,0,0,0
0.006,0.528,15.011,0.066,4.444,36.166,11.519,8.918,6.79,4.118,0,0,1.064,0.01,0,0,0.917,0.007,0,0,0.765,0.006,0,0,0.435,0.006,0,0,0,0,0,0
0.006,0.509,10.805,0.065,4.478,33.012,8.759,7.072,10.379,6.601,0,0,0.97,0.008,0,0,0.866,0.005,0,0,1.237,0.007,0,0,0.833,0.008,0,0,0,0,0,0
0.006,0.465,15.42,0.066,3.961,52.178,7.483,5.794,9.957,6.601,0,0,0.603,0.008,0,0,0.596,0.005,0,0,0.711,0.007,0,0,0.478,0.007,0,0,0,0,0,0
0.007,0.41,17.367,0.065,3.505,26.786,14.645,11.162,3.69,2.474,0,0,1.171,0.01,0,0,0.929,0.006,0,0,0.372,0.004,0,0,0.249,0.004,0,0,0,0,0,0
0.006,0.562,38.072,0.072,5.084,82.71,35.872,28.47,25.471,17.525,0,0,2.123,0.016,0,0,1.799,0.014,0,0,1.949,0.014,0,0,1.186,0.014,0,0,0,0,0,0
0.006,0.5,11.635,0.066,4.564,40.704,9.036,6.898,11.74,8.147,0,0,1.02,0.009,0,0,0.822,0.006,0,0,1.055,0.008,0,0,0.983,0.008,0,0,0,0,0,0
0.006,0.397,7.73,0.064,3.385,18.324,3.925,2.988,3.029,1.884,0,0,0.508,0.006,0,0,0.339,0.003,0,0,0.366,0.003,0,0,0.221,0.003,0,0,0,0,0,0
0.006,0.413,11.09,0.066,3.104,26.198,8.713,6.97,5.519,3.95,0,0,0.79,0.008,0,0,0.677,0.005,0,0,0.601,0.005,0,0,0.435,0.005,0,0,0,0,0,0
0.006,0.48,25.981,0.064,4.055,64.346,25.06,18.565,22.256,14.196,0,0,1.785,0.013,0,0,1.41,0.01,0,0,1.512,0.011,0,0,0.993,0.01,0,0,0,0,0,0
0.006,0.516,12.362,0.065,4.456,43.45,10.135,8.303,8.862,5.41,0,0,1.035,0.009,0,0,1.154,0.006,0,0,1.018,0.007,0,0,0.66,0.007,0,0,0,0,0,0
0.006,0.466,11.5,0.068,4.065,35.773,6.343,4.896,5.314,3.967,0,0,0.695,0.007,0,0,0.546,0.004,0,0,0.583,0.005,0,0,0.415,0.006,0,0,0,0,0,0
0.006,0.459,5.186,0.065,3.943,16.044,2.704,2.054,1.613,1.149,0,0,0.407,0.006,0,0,0.371,0.003,0,0,0.318,0.003,0,0,0.221,0.003,0,0,0,0,0,0
0.006,0.507,5.446,0.065,4.403,29.284,4.518,3.496,9.68,5.79,0,0,0.642,0.006,0,0,0.55,0.003,0,0,1.021,0.007,0,0,0.807,0.007,0,0,0,0,0,0
0.009,0.413,3.392,0.066,3.491,8.039,1.826,1.465,2.639,1.208,0,0,0.354,0.006,0,0,0.281,0.003,0,0,0.418,0.003,0,0,0.265,0.003,0,0,0,0,0,0
0.005,0.406,5.098,0.067,3.501,18.851,2.328,1.649,3.227,1.625,0,0,0.378,0.006,0,0,0.24,0.003,0,0,0.344,0.004,0,0,0.22,0.003,0,0,0,0,0,0
0.006,0.483,30.065,0.066,4.009,60.628,58.833,47.128,42.703,25.886,0,0,4.589,0.016,0,0,4.846,0.013,0,0,3.671,0.012,0,0,2.57,0.011,0,0,0,0,0,0
0.006,0.496,38.347,0.068,4.014,78.494,68.848,54.217,38.254,23.374,0,0,4.407,0.017,0,0,3.13,0.014,0,0,2.208,0.012,0,0,1.548,0.012,0,0,0,0,0,0
0.006,0.513,5.547,0.065,4.497,56.779,6.235,5.009,17.504,10.799,0,0,0.709,0.009,0,0,0.746,0.006,0,0,1.652,0.011,0,0,1.284,0.011,0,0,0,0,0,0
0.006,0.503,3.581,0.067,4.562,20.796,3.156,2.291,3.751,2.769,0,0,0.535,0.006,0,0,0.43,0.003,0,0,0.551,0.005,0,0,0.532,0.005,0,0,0,0,0,0
