st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.009,0.776,36.929,0.07,7.162,153.64,60.421,46.057,102.113,64.788,0,0,3.678,0.024,0,0,2.481,0.024,0,0,5.147,0.028,0,0,3.457,0.03,0,0,0,0,0,0
0.008,0.76,19.705,0.067,7.229,135.62,12.306,8.906,55.272,38.953,0,0,1.233,0.015,0,0,0.927,0.014,0,0,3.233,0.022,0,0,2.041,0.025,0,0,0,0,0,0
0.008,0.764,30.664,0.069,7.227,172.028,39.997,28.021,80.615,53.149,0,0,3.03,0.016,0,0,2.283,0.019,0,0,4.182,0.026,0,0,2.378,0.027,0,0,0,0,0,0
0.008,0.751,17.104,0.067,7.104,103.49,17.621,12.864,57.749,35.607,0,0,1.621,0.013,0,0,1.214,0.014,0,0,3.361,0.023,0,0,2.221,0.022,0,0,0,0,0,0
0.008,0.802,75.186,0.069,7.188,245.39,379.978,321.726,221.418,134.043,0,0,16.008,0.041,0,0,14.822,0.041,0,0,9.173,0.039,0,0,5.523,0.038,0,0,0,0,0,0
0.011,0.753,9.614,0.068,7.075,67.971,11.855,9.495,23.167,14.166,0,0,1.129,0.014,0,0,0.975,0.013,0,0,1.597,0.017,0,0,1.078,0.017,0,0,0,0,0,0
0.008,0.753,27.929,0.067,7.065,146.167,33.52,25.619,87.714,55.402,0,0,2.927,0.019,0,0,2.375,0.019,0,0,4.263,0.027,0,0,3.216,0.028,0,0,0,0,0,0
0.008,0.763,19.456,0.069,7.152,119.149,23.452,17.542,103.635,63.193,0,0,2.181,0.017,0,0,1.694,0.016,0,0,5.523,0.027,0,0,4.366,0.029,0,0,0,0,0,0
0.005,0.755,18.961,0.068,7.207,131.336,15.038,11.054,97.16,61.915,0,0,1.23,0.012,0,0,0.937,0.012,0,0,5.298,0.024,0,0,3.487,0.024,0,0,0,0,0,0
0.008,0.756,29.364,0.069,7.166,178.357,20.056,15.034,147.899,83.15,0,0,1.412,0.013,0,0,1.104,0.013,0,0,6.504,0.029,0,0,3.756,0.028,0,0,0,0,0,0
0.008,0.766,23.201,0.068,7.221,207.288,18.756,11.116,150.87,90.978,0,0,1.367,0.015,0,0,0.881,0.014,0,0,6.486,0.032,0,0,4.335,0.032,0,0,0,0,0,0
0.008,0.76,15.473,0.066,7.147,94.303,19.196,16.438,55.253,33.591,0,0,2.067,0.016,0,0,1.742,0.017,0,0,3.606,0.024,0,0,2.477,0.023,0,0,0,0,0,0
0.004,0.773,50.84,0.068,7.137,210.64,64.996,51.701,103.317,70.972,0,0,5.135,0.023,0,0,4.209,0.024,0,0,3.558,0.03,0,0,3.035,0.03,0,0,0,0,0,0
0.006,0.757,26.474,0.069,7.128,171.749,21.14,15.065,74.621,49.078,0,0,1.78,0.016,0,0,1.323,0.016,0,0,3.294,0.025,0,0,2.212,0.025,0,0,0,0,0,0
0.008,0.763,23.305,0.069,7.215,167.157,18.29,12.989,65.355,44.054,0,0,1.356,0.016,0,0,1.013,0.015,0,0,3.318,0.024,0,0,2.339,0.026,0,0,0,0,0,0
0.008,0.788,22.911,0.066,7.152,110.417,14.332,10.472,57.464,33.101,0,0,1.311,0.01,0,0,0.828,0.013,0,0,2.338,0.02,0,0,1.556,0.019,0,0,0,0,0,0
0.008,0.758,27.663,0.069,7.123,134.354,27.661,20.702,61.799,39.34,0,0,2.259,0.017,0,0,2.083,0.017,0,0,3.496,0.023,0,0,2.337,0.023,0,0,0,0,0,0
0.008,0.762,20.612,0.07,7.143,135.421,41.023,29.214,95.896,59.307,0,0,2.134,0.017,0,0,2.13,0.016,0,0,5.257,0.025,0,0,2.959,0.026,0,0,0,0,0,0
0.009,0.757,24.692,0.068,7.155,164.534,16.876,13.068,96.374,61.29,0,0,1.405,0.015,0,0,1.125,0.015,0,0,5.65,0.026,0,0,3.425,0.028,0,0,0,0,0,0
0.008,0.757,33.898,0.069,7.265,164.036,31.941,24.018,79.405,52.205,0,0,2.63,0.017,0,0,2.052,0.016,0,0,3.881,0.025,0,0,2.743,0.026,0,0,0,0,0,0
0.008,0.777,35.732,0.07,7.224,236.664,20.007,16.227,107.531,69.952,0,0,1.274,0.016,0,0,1.05,0.017,0,0,3.826,0.03,0,0,2.555,0.03,0,0,0,0,0,0
0.008,0.772,45.283,0.068,7.219,200.276,55.551,52.578,153.639,91.612,0,0,4.464,0.024,0,0,2.954,0.023,0,0,5.961,0.033,0,0,4.469,0.034,0,0,0,0,0,0
0.008,0.78,34.282,0.067,7.161,168.88,32.731,22.403,86.735,55.209,0,0,2.185,0.021,0,0,1.657,0.019,0,0,3.769,0.027,0,0,2.499,0.029,0,0,0,0,0,0
0.031,0.761,26.054,0.069,7.087,101.347,28.105,21.569,61.744,35.486,0,0,1.83,0.016,0,0,1.505,0.016,0,0,3.145,0.023,0,0,1.994,0.023,0,0,0,0,0,0
0.007,0.749,13.962,0.069,7.1,89.909,10.218,6.864,31.173,20.972,0,0,1.117,0.013,0,0,0.646,0.011,0,0,2.082,0.018,0,0,1.438,0.019,0,0,0,0,0,0
0.008,0.756,31.896,0.069,7.303,197.106,32.668,22.804,143.687,86.843,0,0,2.051,0.018,0,0,1.524,0.017,0,0,5.183,0.03,0,0,3.437,0.03,0,0,0,0,0,0
0.008,0.754,19.214,0.066,7.124,135.167,20.815,13.674,72.764,46.659,0,0,1.437,0.014,0,0,0.85,0.015,0,0,2.895,0.023,0,0,1.958,0.022,0,0,0,0,0,0
0.008,0.754,24.717,0.066,7.091,120.043,16.251,12.745,39.745,26.709,0,0,1.207,0.013,0,0,1.02,0.013,0,0,2.361,0.019,0,0,1.361,0.018,0,0,0,0,0,0
0.008,0.752,18.837,0.07,7.054,97.87,14.918,10.914,32.204,20.583,0,0,1.097,0.013,0,0,0.867,0.013,0,0,1.728,0.016,0,0,1.357,0.014,0,0,0,0,0,0
0.008,0.763,36.233,0.067,7.155,183.44,33.299,25.026,102.255,69.427,0,0,2.537,0.02,0,0,1.967,0.02,0,0,4.631,0.031,0,0,4.39,0.031,0,0,0,0,0,0
0.008,0.787,27.226,0.069,7.034,155.05,20.059,13.146,43.733,30.737,0,0,1.195,0.015,0,0,0.871,0.013,0,0,2.209,0.019,0,0,1.384,0.02,0,0,0,0,0,0
0.012,0.766,24.382,0.069,7.155,178.464,18.442,12.944,76.703,52.426,0,0,1.854,0.015,0,0,1.324,0.015,0,0,3.601,0.026,0,0,3.009,0.028,0,0,0,0,0,0
0.005,0.774,25.115,0.069,7.21,201.732,14.265,10.294,89.573,63.887,0,0,1.195,0.014,0,0,1.017,0.014,0,0,4.18,0.038,0,0,3.166,0.031,0,0,0,0,0,0
0.008,0.756,34.312,0.069,7.149,186.003,28.523,20.787,80.344,51.624,0,0,1.798,0.016,0,0,1.411,0.015,0,0,2.846,0.024,0,0,1.937,0.024,0,0,0,0,0,0
0.008,0.788,48.676,0.067,7.202,205.408,46.471,31.266,69.757,49.694,0,0,2.635,0.023,0,0,2.079,0.022,0,0,3.112,0.027,0,0,1.979,0.028,0,0,0,0,0,0
